client_id,client_name,client_type,country,risk_profile,created_date,status
C10001,John Carter,INDIVIDUAL,USA,LOW,2025-01-15,ACTIVE
C10002,Emily Watson,INDIVIDUAL,UK,MEDIUM,2025-01-22,ACTIVE
C10003,Michael Brown,INDIVIDUAL,INDIA,HIGH,2025-01-29,ACTIVE
C10004,Sophia Miller,INDIVIDUAL,CANADA,LOW,2025-02-05,ACTIVE
C10005,Daniel Wilson,INDIVIDUAL,GERMANY,MEDIUM,2025-02-12,ACTIVE
C10006,Olivia Taylor,INDIVIDUAL,SINGAPORE,HIGH,2025-02-19,ACTIVE
C10007,James Anderson,INDIVIDUAL,USA,LOW,2025-02-26,ACTIVE
C10008,Ava Thomas,INDIVIDUAL,UK,MEDIUM,2025-03-05,ACTIVE
C10009,William Jackson,INDIVIDUAL,INDIA,HIGH,2025-03-12,ACTIVE
C10010,Isabella White,INDIVIDUAL,CANADA,LOW,2025-03-19,ACTIVE
C10011,Robert Harris,INDIVIDUAL,GERMANY,MEDIUM,2025-03-26,ACTIVE
C10012,Mia Martin,INDIVIDUAL,SINGAPORE,HIGH,2025-04-02,ACTIVE
C10013,David Thompson,INDIVIDUAL,USA,LOW,2025-04-09,ACTIVE
C10014,Charlotte Garcia,INDIVIDUAL,UK,MEDIUM,2025-04-16,ACTIVE
C10015,Thomas Martinez,INDIVIDUAL,INDIA,HIGH,2025-04-23,ACTIVE
C10016,Amelia Robinson,INDIVIDUAL,CANADA,LOW,2025-04-30,ACTIVE
C10017,Christopher Clark,INDIVIDUAL,GERMANY,MEDIUM,2025-05-07,ACTIVE
C10018,Harper Lewis,INDIVIDUAL,SINGAPORE,HIGH,2025-05-14,ACTIVE
C10019,Matthew Lee,INDIVIDUAL,USA,LOW,2025-05-21,ACTIVE
C10020,Evelyn Walker,INDIVIDUAL,UK,MEDIUM,2025-05-28,ACTIVE
C10021,John Carter,INDIVIDUAL,INDIA,HIGH,2025-06-04,ACTIVE
C10022,Emily Watson,INDIVIDUAL,CANADA,LOW,2025-06-11,ACTIVE
C10023,Michael Brown,INDIVIDUAL,GERMANY,MEDIUM,2025-06-18,ACTIVE
C10024,Sophia Miller,INDIVIDUAL,SINGAPORE,HIGH,2025-06-25,ACTIVE
C10025,Daniel Wilson,INDIVIDUAL,USA,LOW,2025-07-02,ACTIVE
C10026,Olivia Taylor,INDIVIDUAL,UK,MEDIUM,2025-07-09,ACTIVE
C10027,James Anderson,INDIVIDUAL,INDIA,HIGH,2025-07-16,ACTIVE
C10028,Ava Thomas,INDIVIDUAL,CANADA,LOW,2025-07-23,ACTIVE
C10029,William Jackson,INDIVIDUAL,GERMANY,MEDIUM,2025-07-30,ACTIVE
C10030,Isabella White,INDIVIDUAL,SINGAPORE,HIGH,2025-08-06,ACTIVE
C10031,Robert Harris,INDIVIDUAL,USA,LOW,2025-08-13,ACTIVE
C10032,Mia Martin,INDIVIDUAL,UK,MEDIUM,2025-08-20,ACTIVE
C10033,David Thompson,INDIVIDUAL,INDIA,HIGH,2025-08-27,ACTIVE
C10034,Charlotte Garcia,INDIVIDUAL,CANADA,LOW,2025-09-03,ACTIVE
C10035,Thomas Martinez,INDIVIDUAL,GERMANY,MEDIUM,2025-09-10,ACTIVE
C10036,Amelia Robinson,INDIVIDUAL,SINGAPORE,HIGH,2025-09-17,ACTIVE
C10037,Christopher Clark,INDIVIDUAL,USA,LOW,2025-09-24,ACTIVE
C10038,Harper Lewis,INDIVIDUAL,UK,MEDIUM,2025-10-01,ACTIVE
C10039,Matthew Lee,INDIVIDUAL,INDIA,HIGH,2025-10-08,ACTIVE
C10040,Evelyn Walker,INDIVIDUAL,CANADA,LOW,2025-10-15,ACTIVE
C10041,John Carter,INDIVIDUAL,GERMANY,MEDIUM,2025-10-22,ACTIVE
C10042,Emily Watson,INDIVIDUAL,SINGAPORE,HIGH,2025-10-29,ACTIVE
C10043,Michael Brown,INSTITUTIONAL,USA,LOW,2025-11-05,ACTIVE
C10044,Sophia Miller,INSTITUTIONAL,UK,MEDIUM,2025-11-12,ACTIVE
C10045,Daniel Wilson,INSTITUTIONAL,INDIA,HIGH,2025-11-19,ACTIVE
C10046,Olivia Taylor,INSTITUTIONAL,CANADA,LOW,2025-11-26,ACTIVE
C10047,James Anderson,INSTITUTIONAL,GERMANY,MEDIUM,2025-12-03,ACTIVE
C10048,Ava Thomas,INSTITUTIONAL,SINGAPORE,HIGH,2025-12-10,INACTIVE
C10049,William Jackson,INSTITUTIONAL,USA,LOW,2025-12-17,INACTIVE
C10050,Isabella White,INSTITUTIONAL,UK,MEDIUM,2025-12-24,INACTIVE
